Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Lang, C., Brand, S., Colledge, F., Holsboer-Trachsler, E., Pühse, U., Gerber, M.","55548846700; 7102840168; 55767515800; 55120971000; 14045669500; 24721244300","Teaching Stress Management in Physical Education: A Quasi-Experimental Study with Vocational Students",2019,"Scandinavian Journal of Educational Research",63,"2",,245,257,,,10.1080/00313831.2017.1336479,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021166371&partnerID=40&md5=c75f8478d6dc3c8591eae882712137c7",Article,Final,,Scopus,2-s2.0-85021166371
"Gustafsson, M.K., Romundstad, P.R., Stafne, S.N., Helvik, A.-S., Stunes, A.K., Mørkved, S., Salvesen, K.Å., Thorsby, P.M., Mosti, M.P., Syversen, U.","56789611400; 35553677400; 51162111400; 12760332200; 13005675500; 6602532515; 7003273845; 6603212809; 26030531400; 7003558319","The effect of an exercise program in pregnancy on Vitamin D status among healthy, pregnant Norwegian women: A randomized controlled trial",2019,"BMC Pregnancy and Childbirth",19,"1", 79,,,,,10.1186/s12884-019-2220-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061978956&partnerID=40&md5=4a9a920195fe0dfc1d484fb6175f9ded",Article,Final,Open Access,Scopus,2-s2.0-85061978956
"Gräske, J., Schmidt, A., Wolf-Ostermann, K.","26430785700; 57059724800; 6507304793","More staff = better quality of life for people with dementia? results of a secondary data analysis in German shared-housing arrangements",2019,"Israel Journal of Health Policy Research",8,"1", 295,,,,,10.1186/s13584-019-0295-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061963865&partnerID=40&md5=33a35dbe61e3595d6212c0de25fed39e",Article,Final,Open Access,Scopus,2-s2.0-85061963865
"Lorenz, H., Reinsch, T., Hess, S., Taube, F.","57205266267; 57188825651; 23094373200; 6701481675","Is low-input dairy farming more climate friendly? A meta-analysis of the carbon footprints of different production systems",2019,"Journal of Cleaner Production",211,"",,161,170,,1,10.1016/j.jclepro.2018.11.113,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059297496&partnerID=40&md5=dfcc9f19792c980d8cca41998888c77b",Article,Final,,Scopus,2-s2.0-85059297496
"Curcoll, R., Camarero, L., Bacardit, M., Àgueda, A., Grossi, C., Gacia, E., Font, A., Morguí, J.-A.","36627043200; 7003696195; 14062880100; 24721430400; 57192419439; 6701457483; 24722529100; 6602985830","Atmospheric Carbon Dioxide variability at Aigüestortes, Central Pyrenees, Spain",2019,"Regional Environmental Change",19,"2",,313,324,,,10.1007/s10113-018-1443-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058863000&partnerID=40&md5=1d3edf0abcb6be2c6f309758d0aa1763",Article,Final,,Scopus,2-s2.0-85058863000
"Mott, M.M., McCrory, M.A., Bandini, L.G., Cabral, H.J., Daniels, S.R., Singer, M.R., Moore, L.L.","24780811300; 7004515822; 7003865673; 35459118500; 26326659800; 7401655125; 7401847446","Egg Intake Has No Adverse Association With Blood Lipids Or Glucose In Adolescent Girls",2019,"Journal of the American College of Nutrition",38,"2",,119,124,,,10.1080/07315724.2018.1469437,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054404454&partnerID=40&md5=7c77a5d6871192fa4f4e3053cdf045e3",Article,Final,,Scopus,2-s2.0-85054404454
"Xu, S., Wang, Z., Zhang, Y., Gao, T., Zou, J., Zhang, X.","56168394100; 57207118045; 57196198381; 55547897600; 55682714700; 35263405600","Evidence for intra-mitochondrial variation in population genetic structure of Platycephalus sp.1 In the Northwestern Pacific",2019,"Mitochondrial DNA Part A: DNA Mapping, Sequencing, and Analysis",30,"2",,281,288,,1,10.1080/24701394.2018.1484119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053262061&partnerID=40&md5=ee4cc2fbee78f33e24c744b9fec8816b",Article,Final,,Scopus,2-s2.0-85053262061
"Freitas, T.T., Calleja-González, J., Carlos-Vivas, J., Marín-Cascales, E., Alcaraz, P.E.","57095610800; 18435913200; 57193858622; 56335866000; 24502780500","Short-term optimal load training vs a modified complex training in semi-professional basketball players",2019,"Journal of Sports Sciences",37,"4",,434,442,,2,10.1080/02640414.2018.1504618,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052133662&partnerID=40&md5=db670e6581c5149ed695c277dc22f4f1",Article,Final,,Scopus,2-s2.0-85052133662
"Mirsharifa, S.M., Mirzaian, B., Dousti, Y.","55324055300; 55336981300; 55753596600","The efficacy of acceptance and commitment therapy (ACT) matrix on depression and psychological capital of the patients with irritable bowel syndrome",2019,"Open Access Macedonian Journal of Medical Sciences",7,"3",,421,427,,,10.3889/oamjms.2019.076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066763300&partnerID=40&md5=6f6a2cdbc90bf367880b59dd282c73ee",Article,Final,Open Access,Scopus,2-s2.0-85066763300
"Montoya, A.K.","57191490526","Moderation analysis in two-instance repeated measures designs: Probing methods and multiple moderator models",2019,"Behavior Research Methods",51,"1",,61,82,,4,10.3758/s13428-018-1088-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055119490&partnerID=40&md5=53b8a13fa1abe5948b5dd94b02c864a5",Article,Final,,Scopus,2-s2.0-85055119490
"Abel, J.L., Carson, R.T., Andrae, D.A.","57200527537; 55576904700; 54580606100","The impact of treatment with eluxadoline on health-related quality of life among adult patients with irritable bowel syndrome with diarrhea",2019,"Quality of Life Research",28,"2",,369,377,,1,10.1007/s11136-018-2008-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054304334&partnerID=40&md5=88aca8a269155fa61234796aaabc6af5",Article,Final,Open Access,Scopus,2-s2.0-85054304334
"Cervantes, R.C., Gattamorta, K.A., Berger-Cardoso, J.","8108048200; 26029063200; 57195463010","Examining Difference in Immigration Stress, Acculturation Stress and Mental Health Outcomes in Six Hispanic/Latino Nativity and Regional Groups",2019,"Journal of Immigrant and Minority Health",21,"1",,14,20,,2,10.1007/s10903-018-0714-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042584959&partnerID=40&md5=9038332b3ce26a9be49a9df0a54b7048",Article,Final,,Scopus,2-s2.0-85042584959
"Scerri, J., Saliba, T., Saliba, G., Scerri, C.A., Camilleri, L.","55681976200; 57203963161; 57203955494; 7801370452; 25421557500","Illness perceptions, depression and anxiety in informal carers of persons with depression: a cross-sectional survey",2019,"Quality of Life Research",28,"2",,451,460,,1,10.1007/s11136-018-2009-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053812243&partnerID=40&md5=bd4095a978761141ab3f354bc6800070",Article,Final,,Scopus,2-s2.0-85053812243
"Zhou, T., Li, A.-Q.","57193806441; 7403291516","Seismic fragility assessment of highway bridges using D-vine copulas",2019,"Bulletin of Earthquake Engineering",17,"2",,927,955,,1,10.1007/s10518-018-0474-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053613867&partnerID=40&md5=71e5e80232642f92588fa06437c13ac1",Article,Final,,Scopus,2-s2.0-85053613867
"Xu, W., Jin, J., Han, D., Liu, H., Zhu, X., Yang, Y., Xie, S.","57192994466; 16686122700; 56477860200; 56366378000; 8917404600; 35290799000; 7401936939","Physiological and transcriptomic responses to fishmeal-based diet and rapeseed meal-based diet in two strains of gibel carp (Carassius gibelio)",2019,"Fish Physiology and Biochemistry",45,"1",,267,286,,2,10.1007/s10695-018-0560-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052846113&partnerID=40&md5=2486865ac5c33266884c800afb586b4c",Article,Final,,Scopus,2-s2.0-85052846113
"Dissanayaka, N.N.W., Au, T.R., Angwin, A.J., Iyer, K.K., O'Sullivan, J.D., Byrne, G.J., Silburn, P.A., Marsh, R., Mellick, G.D., Copland, D.A.","16205271000; 57193675327; 6508317172; 36841420800; 7201881341; 7101906439; 6701568670; 16205276200; 7004641432; 6603939137","Depression symptomatology correlates with event-related potentials in Parkinson's disease: An affective priming study",2019,"Journal of Affective Disorders",245,"",,897,904,,1,10.1016/j.jad.2018.11.094,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056715860&partnerID=40&md5=e66eafe218d00a82774c21a88e1b83e0",Article,Final,,Scopus,2-s2.0-85056715860
"Shapero, B.G., Farabaugh, A., Terechina, O., DeCross, S., Cheung, J.C., Fava, M., Holt, D.J.","35485396700; 6602357702; 57204593257; 56845721100; 57203864870; 33267681700; 7202563392","Understanding the effects of emotional reactivity on depression and suicidal thoughts and behaviors: Moderating effects of childhood adversity and resilience",2019,"Journal of Affective Disorders",245,"",,419,427,,4,10.1016/j.jad.2018.11.033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056289586&partnerID=40&md5=ce7acdc08f606ca557eef4a0f5eabc88",Article,Final,,Scopus,2-s2.0-85056289586
"Jiménez-Peñuela, J., Ferraguti, M., Martínez-de la Puente, J., Soriguer, R., Figuerola, J.","57204241037; 55340842400; 55792883400; 6603370710; 7004073252","Urbanization and blood parasite infections affect the body condition of wild birds",2019,"Science of the Total Environment",651,"",,3015,3022,,2,10.1016/j.scitotenv.2018.10.203,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055022738&partnerID=40&md5=3d60485817a92b80ca4bad3973f8f677",Article,Final,,Scopus,2-s2.0-85055022738
"Cross, W.F., West, J.C., Pisani, A.R., Crean, H.F., Nielsen, J.L., Kay, A.H., Caine, E.D.","8503893300; 57198902468; 8383778400; 7801443320; 57205890238; 57205884576; 57201527878","A randomized controlled trial of suicide prevention training for primary care providers: A study protocol",2019,"BMC Medical Education",19,"1", 58,,,,,10.1186/s12909-019-1482-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061530236&partnerID=40&md5=67e1e7caa2cfd08d8c1992b00eb303b6",Article,Final,Open Access,Scopus,2-s2.0-85061530236
"Ramírez-Vélez, R., Garcia-Hermoso, A., Prieto-Benavides, D.H., Correa-Bautista, J.E., Quino-Ávila, A.C., Rubio-Barreto, C.M., González-Ruíz, K., Carrillo, H.A., Correa-Rodríguez, M., González-Jiménez, E., Rio-Valle, J.S.","57202674527; 36632087000; 56946841700; 36089037100; 56520396700; 57205615953; 55179223100; 56708409500; 44760992700; 34167771900; 35769673400","Muscle mass to visceral fat ratio is an important predictor of the metabolic syndrome in college students",2019,"British Journal of Nutrition",121,"3",,330,339,,,10.1017/S0007114518003392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060790577&partnerID=40&md5=1b56ad51aa363c177be7e165a98444ac",Article,Final,,Scopus,2-s2.0-85060790577
"Leme, A.C.B., Philippi, S.T., Thompson, D., Nicklas, T., Baranowski, T.","55841759300; 6701348779; 9735772500; 7006077791; 7004458126","“Healthy Habits, Healthy Girls—Brazil”: an obesity prevention program with added focus on eating disorders",2019,"Eating and Weight Disorders",24,"1",,107,119,,3,10.1007/s40519-018-0510-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046468144&partnerID=40&md5=c642cdff90013f56caff73fa03063b41",Article,Final,,Scopus,2-s2.0-85046468144
"Oh, J.-H., Alexander, L.M., Pan, M., Schueler, K.L., Keller, M.P., Attie, A.D., Walter, J., van Pijkeren, J.-P.","56346650000; 57202423813; 57205728272; 35609282900; 15623041400; 7006936528; 57192399617; 13204719900","Dietary Fructose and Microbiota-Derived Short-Chain Fatty Acids Promote Bacteriophage Production in the Gut Symbiont Lactobacillus reuteri",2019,"Cell Host and Microbe",25,"2",,273,284.e6,,11,10.1016/j.chom.2018.11.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060767380&partnerID=40&md5=2b148020639e5a2e0c64d741c1e67671",Article,Final,,Scopus,2-s2.0-85060767380
"Frölich, L., Wunderlich, G., Thamer, C., Roehrle, M., Garcia, M., Dubois, B.","56820309600; 35380782200; 57205764142; 57204221574; 56299011000; 7101841106","Evaluation of the efficacy, safety and tolerability of orally administered BI 409306, a novel phosphodiesterase type 9 inhibitor, in two randomised controlled phase II studies in patients with prodromal and mild Alzheimer's disease",2019,"Alzheimer's Research and Therapy",11,"1", 18,,,,4,10.1186/s13195-019-0467-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061492022&partnerID=40&md5=af3edf64bbaa0c7cb50762ecd3c43a44",Article,Final,Open Access,Scopus,2-s2.0-85061492022
"Lin, Y., Chen, A., Yan, S., Rafay, L., Du, K., Wang, D., Ge, Y., Li, J.","8869314500; 56733933500; 56733947800; 57194057189; 56549534900; 55927225000; 26039083000; 47161257300","Available soil nutrients and water content affect leaf nutrient concentrations and stoichiometry at different ages of Leucaena leucocephala forests in dry-hot valley",2019,"Journal of Soils and Sediments",19,"2",,511,521,,1,10.1007/s11368-018-2029-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048596653&partnerID=40&md5=ef26c38352c5eeb362586f80bb50469a",Article,Final,,Scopus,2-s2.0-85048596653
"García-Álvarez, L., García-Portilla, M.P., Caso, J.R., de la Fuente-Tomás, L., González-Blanco, L., Sáiz Martínez, P., Leza, J.C., Bobes, J.","55865157500; 57191568775; 8110546600; 57191849200; 56109006700; 6603773777; 7003538940; 57193527430","Early versus late stage schizophrenia. What markers make the difference?",2019,"World Journal of Biological Psychiatry",20,"2",,159,165,,,10.1080/15622975.2018.1511920,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054584831&partnerID=40&md5=1e2cab99398781f23641d2189fbe7cd3",Article,Final,,Scopus,2-s2.0-85054584831
"Keller, J.L., Housh, T.J., Hill, E.C., Smith, C.M., Schmidt, R.J., Johnson, G.O.","57195325150; 56004560300; 56533150200; 56532738900; 57199117110; 7405718593","The effects of Shilajit supplementation on fatigue-induced decreases in muscular strength and serum hydroxyproline levels",2019,"Journal of the International Society of Sports Nutrition",16,"1", 270,,,,,10.1186/s12970-019-0270-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061099855&partnerID=40&md5=3d56f20732b15bc78e862e64d2a04b81",Article,Final,Open Access,Scopus,2-s2.0-85061099855
"Teixeira, S.C., Madureira, J.B., Azevedo, E.I., Castro, P.M.","57204724960; 57192939192; 7006132517; 57205452138","Ageing affects the balance between central and peripheral mechanisms of cerebrovascular regulation with increasing influence of systolic blood pressure levels",2019,"European Journal of Applied Physiology",119,"2",,519,529,,,10.1007/s00421-018-4036-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056894289&partnerID=40&md5=17fa9b33135d4aeab83f249d106f36bf",Article,Final,,Scopus,2-s2.0-85056894289
"Birr, T., Verreet, J.-A., Klink, H.","57203944973; 6603863463; 6602779848","Prediction of deoxynivalenol and zearalenone in winter wheat grain in a maize-free crop rotation based on cultivar susceptibility and meteorological factors",2019,"Journal of Plant Diseases and Protection",126,"1",,13,27,,,10.1007/s41348-018-0198-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060275953&partnerID=40&md5=16e4d7fd02e3afcc82c07e3102113e60",Article,Final,,Scopus,2-s2.0-85060275953
"Su, T.T., Azzani, M., Adewale, A.P., Thangiah, N., Zainol, R., Majid, H.","36162454400; 56392912100; 57205686778; 56020358200; 36138892000; 54893067500","Physical activity and health-related quality of life among low-income adults in metropolitan kuala lumpur",2019,"Journal of Epidemiology",29,"2",,43,49,,,10.2188/jea.JE20170183,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061161736&partnerID=40&md5=7841d8b2189695622e37af0d28d836e6",Article,Final,Open Access,Scopus,2-s2.0-85061161736
"Chang, O.H., Hacker, M.R., Rosenblatt, P.L., Neo, D., Von Bargen, E., Berrahou, I., Le, A., Lefevre, R., Hota, L.S.","57130430400; 7004401464; 7003979938; 57190013390; 55347018200; 57201383868; 57201376512; 56825305700; 22957585100","Comparing postoperative voiding dysfunction after mid-urethral sling using either a Babcock or Kelly clamp tensioning technique",2019,"International Urogynecology Journal",30,"2",,301,305,,,10.1007/s00192-018-3638-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044500670&partnerID=40&md5=2e69e38fe20c3095a35db97d7202f65c",Article,Final,,Scopus,2-s2.0-85044500670
"Boonlertvanich, K.","56246753700","Service quality, satisfaction, trust, and loyalty: the moderating role of main-bank and wealth status",2019,"International Journal of Bank Marketing",37,"1",,278,302,,1,10.1108/IJBM-02-2018-0021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061512111&partnerID=40&md5=b1b9fd8bd078ab632a94b88ae2480d24",Article,Final,,Scopus,2-s2.0-85061512111
"Mariyono, J.","16067014200","Microcredit and technology adoption: Sustained pathways to improve farmers’ prosperity in Indonesia",2019,"Agricultural Finance Review",79,"1",,85,106,,2,10.1108/AFR-05-2017-0033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053526999&partnerID=40&md5=784367ea14c5ce8e972f346c99997d5b",Article,Final,,Scopus,2-s2.0-85053526999
"Nakajima, Y., Schmidt, S.M., Fänge, A.M., Ono, M., Ikaga, T.","57206782541; 56591328800; 6602996359; 57206780300; 8726604700","Relationship between perceived indoor temperature and self-reported risk for frailty among community-dwelling older people",2019,"International Journal of Environmental Research and Public Health",16,"4", 613,,,,,10.3390/ijerph16040613,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061967901&partnerID=40&md5=618b7492109fc95b89f2bfe14d615e31",Article,Final,Open Access,Scopus,2-s2.0-85061967901
"Bujnowska, A.M., Rodríguez, C., García, T., Areces, D., Marsh, N.V.","57208691666; 35113923600; 56350340500; 56389661500; 7102834419","Parenting and future anxiety: The impact of having a child with developmental disabilities",2019,"International Journal of Environmental Research and Public Health",16,"4", 668,,,,,10.3390/ijerph16040668,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065514721&partnerID=40&md5=5f1f4e222e67532ee7c08911d6ec8273",Article,Final,Open Access,Scopus,2-s2.0-85065514721
"Sharma, N., Mahak","57189575576; 57208222352","Effect of KIDNET, karma yoga teaching and nostalgic street games on the self knowledge of orphan girls",2019,"Indian Journal of Public Health Research and Development",10,"2",,1025,1028,,,10.5958/0976-5506.2019.00431.5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064179814&partnerID=40&md5=e82ba27116ef005184bc4a2e84c64ce5",Article,Final,,Scopus,2-s2.0-85064179814
"Dal Mas, C., Carvalho, M.S., Marins, L.A., Yonamine, C.M., Cordeiro, Q., McIntyre, R.S., Mansur, R.B., Brietzke, E., Hayashi, M.A.F.","56177587300; 57192958800; 57204149355; 6504628813; 6602193357; 7102253367; 38461301000; 57193167331; 57202976236","Oligopeptidases activity in bipolar disorder: Ndel1 and angiotensin I converting enzyme",2019,"Journal of Affective Disorders",244,"",,67,70,,1,10.1016/j.jad.2018.10.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054695900&partnerID=40&md5=ae8ee3f4cead1e0b211ed6c6678e5115",Article,Final,,Scopus,2-s2.0-85054695900
"Shieh, G.","36960319400","Effect size, statistical power, and sample size for assessing interactions between categorical and continuous variables",2019,"British Journal of Mathematical and Statistical Psychology",72,"1",,136,154,,,10.1111/bmsp.12147,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056994405&partnerID=40&md5=cbcd72cfe3a387cc73524ca62d662953",Article,Final,,Scopus,2-s2.0-85056994405
"Xie, Y., Zheng, Q., Yang, C.-S.W., Zhang, W., DesRoches, R., Padgett, J.E., Taciroglu, E.","57189250868; 57204811388; 23968152600; 57194548628; 6603925105; 15729739800; 6602889035","Probabilistic models of abutment backfills for regional seismic assessment of highway bridges in California",2019,"Engineering Structures",180,"",,452,467,,2,10.1016/j.engstruct.2018.11.058,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057264926&partnerID=40&md5=2a8cde293b9398edbdbb815f14435861",Article,Final,,Scopus,2-s2.0-85057264926
"Weerahandi, S., Krishnamoorthy, K.","6603352611; 7103159502","A note reconciling ANOVA tests under unequal error variances",2019,"Communications in Statistics - Theory and Methods",48,"3",,689,693,,1,10.1080/03610926.2017.1419264,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041121283&partnerID=40&md5=f9ade8a6d9766e6365fda8754e2b5d91",Article,Final,,Scopus,2-s2.0-85041121283
"Beltz, A.M., Loviska, A.M., Kelly, D.","37071795200; 57204149453; 57204137044","No personality differences between oral contraceptive users and naturally cycling women: Implications for research on sex hormones",2019,"Psychoneuroendocrinology",100,"",,127,130,,1,10.1016/j.psyneuen.2018.09.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054690426&partnerID=40&md5=3144f90059e453d79342d0aed97eee45",Article,Final,,Scopus,2-s2.0-85054690426
"Medina, L.D., Sadler, M., Yeh, M., Filoteo, J.V., Woods, S.P., Gilbert, P.E.","14037680400; 7005426314; 7202944216; 6701397710; 34980047900; 7202652831","Collectivism is associated with greater neurocognitive fluency in older adults",2019,"Frontiers in Human Neuroscience",13,"", 122,,,,,10.3389/fnhum.2019.00122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069429478&partnerID=40&md5=41ad6ff8b3cd873ad7132ead2e45388d",Article,Final,Open Access,Scopus,2-s2.0-85069429478
"Ghanaat Pisheh, E.A., NejatyJahromy, Y., Gargari, R.B., Hashemi, T., Fathi-Azar, E.","57196050294; 35792415400; 54894208300; 46461489700; 15753746700","Effectiveness of clicker-assisted teaching in improving the critical thinking of adolescent learners",2019,"Journal of Computer Assisted Learning",35,"1",,82,88,,,10.1111/jcal.12313,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053556238&partnerID=40&md5=4a156530f4abd6e6c739bafc688db6b3",Article,Final,,Scopus,2-s2.0-85053556238
"Kashlak, A.B., Aston, J.A.D., Nickl, R.","57191445497; 7005093899; 23135067100","Inference on Covariance Operators via Concentration Inequalities: k-sample Tests, Classification, and Clustering via Rademacher Complexities",2019,"Sankhya A",81,"1",,214,243,,,10.1007/s13171-018-0143-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054182759&partnerID=40&md5=4b87fc5ca3bbdd04ef80d6bab9c6b364",Article,Final,,Scopus,2-s2.0-85054182759
"Hirt, S.J., Hatch, K.A.","57192861187; 7006471821","The effects of temperature on the turnover of δ<sup>18</sup>O and δD in juvenile corn snakes (Elaphe guttata): A novel study with ecological implications",2019,"Diversity",11,"2", 19,,,,,10.3390/d11020019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062732763&partnerID=40&md5=dc4313384698f7af0c6015eeb8b668b9",Article,Final,Open Access,Scopus,2-s2.0-85062732763
"Crozier, A.J., Taylor, K.L.","55834264000; 57207909518","An Exploratory Study Examining the Interactive Effect of Descriptive Norm and Image Appeal Messages on Adults’ Physical Activity Intentions: A Test of Deviation Regulation Theory",2019,"Journal of Health Communication",24,"2",,195,202,,,10.1080/10810730.2019.1593553,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063197025&partnerID=40&md5=12d03b7ab73a912984c2739f91f79237",Article,Final,,Scopus,2-s2.0-85063197025
"Birinci, T., Razak Ozdincler, A., Altun, S., Kural, C.","57189072293; 6507588535; 56601213700; 23469872500","A structured exercise programme combined with proprioceptive neuromuscular facilitation stretching or static stretching in posttraumatic stiffness of the elbow: a randomized controlled trial",2019,"Clinical Rehabilitation",33,"2",,241,252,,1,10.1177/0269215518802886,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059697954&partnerID=40&md5=efb13f93851e1777793ef42baac93950",Article,Final,,Scopus,2-s2.0-85059697954
"Ritchie, N.D., Kaufmann, P.G., Gritz, R.M., Sauder, K.A., Holtrop, J.S.","57193670686; 57196438511; 56920653900; 35741776400; 6603438887","Presessions to the National Diabetes Prevention Program May be a Promising Strategy to Improve Attendance and Weight Loss Outcomes",2019,"American Journal of Health Promotion",33,"2",,289,292,,3,10.1177/0890117118786195,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049689972&partnerID=40&md5=610d533c71014b0835743cb04fa60ac3",Article,Final,,Scopus,2-s2.0-85049689972
"Masihy, M., Monrroy, H., Borghi, G., Pribic, T., Galan, C., Nieto, A., Accarino, A., Azpiroz, F.","57206191888; 57193159257; 57206179997; 57192113868; 57205368870; 57191341801; 6603844988; 57207592894","Influence of eating schedule on the postprandial response: Gender differences",2019,"Nutrients",11,"2", 401,,,,1,10.3390/nu11020401,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061586467&partnerID=40&md5=dd8627a137bdbde294535089a07121dc",Article,Final,Open Access,Scopus,2-s2.0-85061586467
"Schroter, S., Pakpoor, J., Morris, J., Chew, M., Godlee, F.","7003363974; 55027372800; 56493700800; 55908247500; 26643531000","Effect of different financial competing interest statements on readers' perceptions of clinical educational articles: A randomised controlled trial",2019,"BMJ Open",9,"2", e025029,,,,,10.1136/bmjopen-2018-025029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061244655&partnerID=40&md5=b26312b27f8ff80230b991f9869f506b",Article,Final,Open Access,Scopus,2-s2.0-85061244655
"Cheung, D.S.K., Li, B., Lai, D.W.L., Leung, A.Y.M., Yu, C.T.K., Tsang, K.T.","37090159800; 57205248886; 25926505400; 7403012650; 57196021237; 57205250896","Cognitive Stimulating Play Intervention for Dementia: A Feasibility Randomized Controlled Trial",2019,"American Journal of Alzheimer's Disease and other Dementias",34,"1",,63,71,,1,10.1177/1533317518808036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059281721&partnerID=40&md5=82d3164848b3cb6a5a3ad35c2bc95f00",Article,Final,,Scopus,2-s2.0-85059281721
"Gaudino, S., Martucci, M., Botto, A., Ruberto, E., Leone, E., Infante, A., Ramaglia, A., Caldarelli, M., Frassanito, P., Triulzi, F.M., Colosimo, C.","6602454002; 54912456200; 56507065900; 57192992888; 57205762091; 56868363100; 57205760530; 26643539800; 23099816200; 7006108668; 7006169189","Brain DSC MR perfusion in children: A clinical feasibility study using different technical standards of contrast administration",2019,"American Journal of Neuroradiology",40,"2",,359,365,,,10.3174/ajnr.A5954,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061473734&partnerID=40&md5=dc26096547fbd85638a9151f81303859",Article,Final,,Scopus,2-s2.0-85061473734
"Tanaka, M., Hashimoto, K.","57211362078; 57205702942","Impact of consuming green and yellow vegetables on the depressive symptoms of junior and senior high school students in Japan",2019,"PLoS ONE",14,"2", e0211323,,,,,10.1371/journal.pone.0211323,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061175945&partnerID=40&md5=8c89cca72c2bcbcc5d422c3da98bb06a",Article,Final,Open Access,Scopus,2-s2.0-85061175945
"Calvillo-Argüelles, O., Abdel-Qadir, H., Michalowska, M., Billia, F., Suntheralingam, S., Amir, E., Thavendiranathan, P.","57194187226; 16204971100; 57205695353; 6602414048; 57205692861; 24066421000; 8530061100","Cardioprotective Effect of Statins in Patients With HER2-Positive Breast Cancer Receiving Trastuzumab Therapy",2019,"Canadian Journal of Cardiology",35,"2",,153,159,,2,10.1016/j.cjca.2018.11.028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059684233&partnerID=40&md5=294df82cbd4147cb5f9ada4243fca283",Article,Final,,Scopus,2-s2.0-85059684233
"Mergelsberg, E.L.P., MacLeod, C., Mullan, B., Rudaizky, D., Allom, V., Houben, K., Lipp, O.V.","57204962261; 55751744332; 24344595500; 55611760600; 39260997700; 14044871500; 7004506548","Food healthiness versus tastiness: Contrasting their impact on more and less successful healthy shoppers within a virtual food shopping task",2019,"Appetite",133,"",,405,413,,,10.1016/j.appet.2018.11.029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058175928&partnerID=40&md5=de8b17afa4e2884d292b872670b3c6a9",Article,Final,,Scopus,2-s2.0-85058175928
